GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Klout Score,Gender,Posts,Followers,Following
625450197393506304,7/26/2015 19:38,http://twitter.com/AvriilR5/status/625450197393506304,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@AvriilR5,Kade ,,,,Purchase Intent,,Twitter,36,M,3715,394,916
626396332106874880,7/29/2015 10:18,http://twitter.com/Nikkintense_/status/626396332106874880,Converse Chuck II #discount,@Nikkintense_,Nikki,Netherlands,,,Value for money,,Twitter,36,F,48684,338,520
625949463362695168,7/28/2015 4:42,http://twitter.com/Mertyyy_/status/625949463362695168,"#ChuckII  the fudge, i want the black and white, I NEED THAT!",@Mertyyy_,Merliza Tolentino,Philippines,,,Purchase Intent,,Twitter,29,,2578,146,200
626754272772788224,7/30/2015 10:00,http://twitter.com/_MieuKun_/status/626754272772788224,Tui ch? b?n holiday c?a converse Chuck II ra r?i quy?t ??nh mua gì,@_MieuKun_,_Miêu Miêu_,Vietnam,,,Value for money,,Twitter,23,,8374,121,298
626067239456886784,7/28/2015 12:30,http://twitter.com/MandiSilva99/status/626067239456886784,Chuck II,@MandiSilva99,-  ,Brazil,Distrito Federal,Brasilia,Value for money,,Twitter,36,,8273,289,189
626378575185248257,7/29/2015 9:07,http://twitter.com/JafarSadiq_/status/626378575185248257,Chuck II looks so bad,@JafarSadiq_,Karin ,,,,Value for money,,Twitter,35,F,6414,122,152
626439277136642048,7/29/2015 13:08,http://twitter.com/katapintas/status/626439277136642048,may chuck II ba sa rob? ??,@katapintas,renza f.,,,,Value for money,,Twitter,43,F,46206,796,485
626984260570775552,7/31/2015 1:14,http://twitter.com/ume_muri24/status/626984260570775552,CHUCK2????…,@ume_muri24,????????,Japan,,,Value for money,,Twitter,51,,38530,767,226
625790030905253888,7/27/2015 18:09,http://twitter.com/sollR5/status/625790030905253888,RT @rikerR5 Cannot wait to get a pair of these new @Converse! #ChuckII,@sollR5,Sunny // 189 days,United States of America,Michigan,Pontiac,Purchase Intent,,Twitter,56,,85567,7897,2403
626162450862350336,7/28/2015 18:48,http://twitter.com/JessHuddles/status/626162450862350336,"Time for a new, un-mud-covered version of my second skins - #ChuckII purchased ??? (my girlfriends will be relieved.)",@JessHuddles,Jess Huddleston,United States of America,,,Value for money,,Twitter,42,,6197,647,776
